衢州市柯城区利民城乡建设投资开发有限责任公司,330800000042583,衢州市双港中路18号1幢408室,5000万元人民币
杭州中科赛思节能设备有限公司,330122000034985,桐庐县桐庐经济开发区滩头路77号,1500万元人民币
杭州临江投资发展有限公司,330181000031801,萧山临江高新技术产业园区,30000万元人民币
杭州深瑞水务有限公司,330105000012824,杭州余杭区仁和街道东山村,502.36万元人民币
浙江天地钢结构有限公司,330800000021504,衢州市东港四路5号,2000万元人民币
浙江博世华环保科技有限公司,330100000028445,杭州市莫干山路1418-40号9层、10层（上城科技工业基地）,6300万元人民币
舟山中昌海运有限责任公司,330900000002019,舟山市定海区青垒头路5号,15000万元人民币
宁波市商贸集团有限公司,330200000070712,宁波市海曙区中山东路81号,29000万元人民币
嘉兴市联众实业投资有限公司,330402000021513,嘉兴市南湖区凤桥镇凤飞路99号一楼,23300万元人民币
宁波轿辰集团股份有限公司,330200000039431,宁波市江东区环城南路东段777号世纪汽车城内,12880万元人民币
绍兴益泉大酒店有限公司,330600000011631,绍兴市袍江工业区世纪广场,8008万元人民币
,,,
浙江长荣建设工程有限公司,330104000039249,杭州市江干区丁桥镇丁石路66号,7310万元人民币
,,,
温州市旭升鞋业有限公司,330304000018396,温州市瓯海三溪工业园区富阳北路13号,1050万元人民币
飞虎科技有限公司,330483000056125,桐乡市濮院镇恒乐路688号,10800万元人民币
绍兴杰龙玻璃有限公司,330600400003948,绍兴县滨海工业区兴滨路,1770万美元
安吉紫梅实业有限公司,330523000032083,安吉县梅溪镇人民路,12000万元人民币
上海城投控股股份有限公司,310000000011872,浦东新区北艾路1540号,298752.3518万人民币
,,,
北汽福田汽车股份有限公司,110000005082498,北京市昌平区沙河镇沙阳路老牛湾村北,280967.16万元
首创置业股份有限公司,110000410177682,北京市怀柔区青春路26号1幢6008室,202796万元人民币
上海隧道工程股份有限公司,310000000025059,上海市浦东新区海徐路957号,314409.6094万人民币
中华企业股份有限公司,310000000023990,上海市华山路2号,186705.9398万人民币
