公司名,城,注册号
上海城开（集团）有限公司,上海,310000000043933
上海城投控股股份有限公司,上海,310000000011872
上海复星医药（集团）股份有限公司,上海,310000000036602
上海大众公用事业（集团）股份有限公司,上海,310000000008037
上海大名城企业股份有限公司,上海,310000400150891
上海大新华航运发展有限公司,上海,310115001146216
上海实业发展股份有限公司,上海,310000000047164
上海市建设机电安装有限公司,上海,310230000046828
上海张江高科技园区开发股份有限公司,上海,310000000043546
上海新黄浦置业股份有限公司,上海,310000000047244
上海朗诗建筑科技有限公司,上海,310115001091848
上海江苏饭店有限公司,上海,310107000044699
上海浦东路桥建设股份有限公司,上海,310000000092681
上海海希工业通讯股份有限公司,上海,310104000192605
上海海立（集团）股份有限公司,上海,310000400040612
上海游久游戏股份有限公司,上海,310000000001027
上海申通地铁股份有限公司,上海,310000000009752
上海电力股份有限公司,上海,310000400195188
上海电气集团股份有限公司,上海,310000000086691
上海紫江企业集团股份有限公司,上海,310000400004243
上海紫竹信息数码港有限公司,上海,310112000464036
上海红星美凯龙投资有限公司,上海,310115001009319
上海美特斯邦威服饰股份有限公司,上海,310225000206755
上海至纯洁净系统科技股份有限公司,上海,310112000278119
上海茗强实业有限公司,上海,310230000321384
上海莱士血液制品股份有限公司,上海,310000400004034
上海豫园旅游商城股份有限公司,上海,310000000001998
上海金丰建设发展有限公司,上海,310115000895732
上海金桥出口加工区开发股份有限公司,上海,310000400062043
上海隧道工程股份有限公司,上海,310000000025059
上海雅润文化传播有限公司,上海,310114001632488
上海集优机械股份有限公司,上海,310000000088302
中化国际（控股）股份有限公司,上海,310000000066961
中华企业股份有限公司,上海,310000000023990
中国东方航空股份有限公司,上海,310000400111686
中国高科集团股份有限公司,上海,310000000009961
中海发展股份有限公司,上海,310000400151546
丰田通商（上海）有限公司,上海,310115400025643
优必胜（上海）精密轴承制造有限公司,上海,310000400523006
华域汽车系统股份有限公司,上海,310000000013225
华宝投资有限公司,上海,310115000240161
协鑫集成科技股份有限公司,上海,310226000457712
国药控股股份有限公司,上海,310101000307576
复地（集团）股份有限公司,上海,310000400200534
天地源股份有限公司,上海,310000000014943
方兴地产投资管理（上海）有限公司,上海,310000400548581
旭辉集团股份有限公司,上海,310000000092243
派芬自控（上海）股份有限公司,上海,310110000320143
海通开元投资有限公司,上海,310000000094802
润百计算机（上海）有限公司,上海,310115400191261
红星美凯龙家居集团股份有限公司,上海,310115001019076
绿地控股股份有限公司,上海,310000000010224
远东国际租赁有限公司,上海,310115400080939


东华能源股份有限公司,江苏,320000400002881
东飞马佐里纺机有限公司,江苏,320900400006034
中利科技集团股份有限公司,江苏,320500000045339
丰县经济开发区投资发展有限责任公司,江苏,320300000016537
丹阳市江南面粉有限公司,江苏,321181000038166
仪征城乡水务有限公司,江苏,321081000004402
保利协鑫（苏州）新能源有限公司,江苏,320000400004133
保定天威集团（江苏）五洲变压器有限公司,江苏,320582000034350
凡登（常州）新型金属材料技术有限公司,江苏,320400400024509
南京东部园林绿化建设发展有限公司,江苏,320102000006970
南京六合路桥建设有限公司,江苏,320123000006828
